city,population
Malý Lipník,455
Malý Cetín,452
Slatina nad Bebravou,452
Martinček,452
Hankovce,451
Lesné,451
Kapišová,450
Kalameny,450
Čerín,450
Čekovce,450
Petrovce,450
Chmeľovec,449
Klížska Nemá,449
Majerovce,449
Žitná-Radiša,448
Veľké Vozokany,448
Brestov,448
Mestisko,447
Nižný Lánec,447
Turová,446
Macov,446
Vyšná Slaná,445
České Brezovo,444
Šutovce,444
Mierovo,444
Obeckov,444
Čierna,444
Figa,442
Kaluža,442
Dlhá,441
Slovany,441
Nová Ves,441
Lopušné Pažite,441
Vrícko,440
Ondrejovce,440
"Závada, Veľký Krtíš District",440
Dolná Mičiná,439
Dedina Mládeže,438
Malý Kamenec,438
Hoste,437
Roztoky,436
Sikenička,436
Nedašovce,435
Bretejovce,434
Lieskovec,434
Rovensko,434
Horný Lieskov,434
Ďapalovce,433
Žarnov,433
Mojtín,432
"Bukovec, Myjava District",431
Čelovce,431
Pakostov,431
Kraľovany,430
Horňany,429
Holčíkovce,428
Hrabovka,427
Merašice,426
Sedmerovec,426
Havaj,425
Opatovce,425
Jasenová,425
Veľká Ves,424
Radoma,424
Štvrtok,424
Nižná Olšava,423
Jenkovce,423
Nemešany,422
Vojkovce,422
Veľké Pole,421
Krčava,421
Bajerov,420
Telince,420
Kľače,419
Holčíkovce,419
Turčianske Jaseno,419
Červený Hrádok,419
Podhradík,418
Vaľkovňa,418
Dúbravica,418
Sušany,418
Lesíček,418
Hriadky,417
Hronská Dúbrava,417
Rybky,417
Košariská,415
Vlky,415
Radošovce,415
Čižatice,414
Koromľa,414
Hnilec,414
Žitavce,412
Kvakovce,412
Môlča,412
Belža,411
Gemerské Dechtáre,411
Fulianka,411
Malá Hradná,411
Nižná Rybnica,410
Debraď,409
Malé Hoste,409
Rákoš,409
Klokočov,409
Devičany,408
Suché,407
Porúbka,407
"Vieska, Dunajská Streda District",407
Pavlovce,406
Komárovce,405
Kosihy nad Ipľom,405
Veľká Ves nad Ipľom,405
Nevoľné,405
Tarnov,404
Ľubá,404
Vyšné Remety,403
Tŕnie,403
Proč,402
Chyžné,402
Dačov Lom,401
Stanča,399
Horné Pršany,398
Malá nad Hronom,398
Brezovička,398
Rudinka,397
Henckovce,397
Kopernica,397
Polianka,396
Lehôtka pod Brehmi,396
Bretka,396
Kaľava,395
Hudcovce,395
Oreské,395
Baškovce,395
Otrhánky,394
Naháč,394
Seč,394
Pavčina Lehota,393
Zacharovce,393
Vyšná Voľa,393
Milhosť,392
Zlatá Idka,392
Bunkovce,392
Hosťová,392
Paňa,392
Bajtava,392
Kynceľová,391
Ňagov,390
Bádice,390
Vlkyňa,389
Vyšná Rybnica,389
"Peder, Košice-okolie District",389
Točnica,388
Jakubova Voľa,388
Štefanová,388
Kysta,388
Nižný Kručov,387
Veterná Poruba,387
Dolné Otrokovce,386
Kurimka,386
Nezbudská Lúčka,386
Malé Chyndice,386
Janovík,385
Vyšný Orlík,385
Čečehov,385
Belince,384
Cabov,383
Oľšov,383
Hrašovík,383
Rohov,383
Chropov,382
Drženice,382
Nitra nad Ipľom,381
Rakovo,381
Bodza,381
Malé Kozmálovce,381
Štrkovec,380
Sklené Teplice,380
Tekovský Hrádok,380
Horné Chlebany,379
Malé Kosihy,379
Poliakovce,379
Jabloň,378
Beša,378
Liptovské Kľačany,378
Šambron,376
Lukavica,374
Hlivištia,373
Lazisko,372
Breziny,371
Šarkan,371
Údol,371
Liptovský Jakubovany,370
Kurimany,369
Haláčovce,369
Horné Dubové,369
Chmeľová,369
Brezov,369
Kravany,366
Rumince,366
Pusté Čemerné,366
Lieskovany,365
Gemerské Teplice,365
Veľká Čierna,365
Čermany,363
Kľúčovec,362
Veľopolie,362
Dolný Chotár,361
Blahová,360
Šivetice,360
Muľa,359
"Rákoš, Košice-okolie District",359
Krivosúd-Bodovka,358
Zbehňov,358
Sebedín-Bečov,358
Osrblie,357
Malá Tŕňa,357
Cakov,357
Šarišská Trstená,356
Vaniškovce,355
Lehôtka,355
Čelovce,355
Priepasné,354
Zubné,354
Bartošova Lehôtka,354
Hričovské Podhradie,354
Bátorová,353
Zemplín,353
Bodovce,352
Jazernica,352
Šalov,352
Kamenné Kosihy,351
Benice,351
Krížovany,351
Ilija,350
Jakovany,350
Rimavské Zalužany,350
Ratkovce,350
Andrejová,350
Ľuboreč,348
Turany nad Ondavou,348
Píla,347
Kružno,347
Klieština,346
Chvojnica,346
Kusín,345
Hajná Nová Ves,345
Kostoľany pod Tribečom,344
Vyšná Sitnica,344
Pravotice,343
Boheľov,343
Stránska,341
Bašovce,340
Veľká Franková,340
Dubinné,339
Vozokany,339
Hodkovce,339
Pašková,339
Tuhár,339
Miňovce,339
Veľké Chyndice,338
Horňa,338
"Abrahámovce, Bardejov District",337
Podhoroď,337
Honce,336
Čierne Pole,336
Rešica,335
Hrušov,335
Blesovce,335
Sečianky,335
Reľov,333
Malé Vozokany,333
Lopašov,332
Koňuš,332
Otročok,332
Dolná Trnávka,332
Vyšná Kamenica,331
Jelšovec,331
Malá Čierna,331
Ostrov,330
Kristy,330
Nová Kelča,330
Frička,330
Nižné Nemecké,329
Vyšný Čaj,329
Hrabovčík,329
Rakytník,329
Dúbrava,329
Vrbovka,329
Ratka,329
Podhorie,329
Nižné Ladičkovce,328
Hunkovce,328
Bajka,328
Tichý Potok,327
Želmanovce,327
Janov,327
Šuja,327
Bellova Ves,326
Orešany,325
Mašková,325
Kečovo,324
Torysky,324
Rochovce,324
Čertižné,323
Konrádovce,323
Kučín,323
Norovce,323
Stará Huta,322
Veľký Slivník,322
Čabalovce,322
Štefanovičová,321
Bory,321
Vígľašská Huta-Kalinka,320
Bulhary,320
Čabiny,320
Nemečky,320
Dubové,320
Valice,319
Belá,319
Kováčovce,318
Veľká Lodina,318
Demänovská Dolina,317
Nižný Orlík,317
Gočovo,316
Vlkas,316
Liptovské Matiašovce,314
Slatina,312
Lipovník,311
Zboj,311
Galovany,311
Jalovec,311
Lopúchov,311
Šandal,310
Revúcka Lehota,310
Virt,309
Luhyňa,309
Brusnica,308
Slatvina,308
Leľa,308
Turnianska Nová Ves,308
Stará Bašta,308
Vojňany,307
Ladmovce,307
Hontianske Trsťany,306
Devičie,305
Stebník,305
Ostrá Lúka,305
Sulín,305
Miklušovce,305
Nevidzany,304
Bušovce,304
Ratkovské Bystré,304
Rešov,303
Turcovce,303
Stakčínska Roztoka,302
Trsťany,302
Liptovský Michal,301
Dolný Kalník,301
Víťazovce,300
Šarišské Čierne,300
Šípkové,300
Gemerský Sad,299
Medzianky,299
Tepličky,299
Nižná Sitnica,299
Vydrná,297
Jastrabie pri Michalovciach,297
Kašov,296
Janice,296
Brhlovce,296
Košický Klečenov,296
Leštiny,296
Juskova Voľa,296
Podhradie,295
Malé Zlievce,294
Žipov,294
Ruský Hrabovec,292
Teplý Vrch,292
Hrkovce,291
Matiaška,290
Osturňa,290
Fekišovce,290
Šiatorská Bukovinka,289
Ozdín,288
Turčok,287
Veľké Raškovce,287
Krtovce,287
Herľany,286
Nižný Čaj,286
Jasenov,286
Neporadza,286
Zboj,285
Hrišovce,285
Trnovec,285
Tročany,284
Podhradie,284
Pavlova Ves,284
Miezgovce,283
Kvačany,283
Livinské Opatovce,283
Bohúňovo,282
Bajerovce,281
Becherov,280
Buglovce,280
Rokytov pri Humennom,280
Trnovo,280
Dukovce,280
Bara,280
Kotmanová,279
Turík,279
Ráztoka,279
Kleňany,278
Priekopa,278
Lehota nad Rimavicou,277
Ivanice,277
Repište,276
Michalok,276
Mikušovce,275
Tajná,275
Nižná Voľa,274
Ipeľské Úľany,274
Bodíky,274
Nandraž,274
Čechy,274
Studená,273
Remeniny,273
Kiarov,273
Kochanovce,272
Kesovce,271
Potônske Lúky,271
Nižný Mirošov,270
Jankovce,270
Horný Pial,268
Vyšné Valice,268
Ladomirov,267
Malé Zálužie,266
Vislanka,265
Rykynčice,265
Solčianky,265
Harhaj,264
Volica,264
Šarišský Štiavnik,264
Sucháň,264
Borčany,263
Nemcovce,261
Voľa,261
Kalinov,261
Hendrichovce,261
Dolný Harmanec,261
Lukavica,261
Olováry,260
Oľka,260
Vyšný Slavkov,260
Krahule,259
Ladzany,258
Žíp,258
Hronská Breznica,258
Pochabany,258
Porúbka,257
Kubáňovo,256
Oľšavica,256
Ďurďoš,256
Nolčovo,255
Kremnické Bane,255
Horné Strháre,254
Dražice,254
Kečkovce,254
Dulovo,254
Hincovce,253
Lechnica,252
Hostovice,252
Ruskovce,252
Nová Sedlica,251
Trnkov,251
Staškovce,251
Dolný Badín,250
Višňov,250
Abrahámovce,250
Donovaly,249
Bočiar,249
Varadka,248
Vrchteplá,248
Kostolec,248
Píla,248
Lužany pri Topli,248
Háj,248
Lipovany,246
Vojnatina,246
Rovňany,246
Biskupová,246
Uličské Krivé,245
Paština Závada,244
Veľký Čepčín,244
Malatíny,244
Koláre,243
Domadice,242
Chvojnica,242
Slizké,242
Orechová,241
Bodorová,240
Hradište,240
Ďurková,239
Socovce,239
Slanská Huta,239
Ľudovítová,239
Levkuška,239
Klenov,239
Krušinec,238
Krivoklát,238
Vyšné Nemecké,238
Dedinky,237
Lomné,236
Čabradský Vrbovok,235
Moštenica,233
Hnojné,232
Baškovce,232
Koceľovce,231
Večelkov,231
Veľkrop,231
Babie,230
Podkylava,230
Vlača,230
Iňa,229
Hostišovce,229
Gočaltovo,228
Malá Lodina,228
Lom nad Rimavicou,228
Muránska Zdychava,228
Adidovce,227
Prosiek,226
Budince,226
Chudá Lehota,226
Vlača,226
Soľnička,225
Bielovce,225
Ďurková,224
Porúbka,223
Špania Dolina,223
Konská,223
Martinová,223
Vršatské Podhradie,222
Malé Raškovce,222
Ardanovce,221
Lužany,221
Malužiná,221
Baláže,221
Nový Salaš,221
Nižná Polianka,221
Drienčany,220
Dolná Ves,220
Trstené,220
Blatné Revištia,220
Uloža,220
Červený Kláštor,219
Ábelová,219
Rakša,219
Radvanovce,218
Riečka,218
Pusté Pole,217
Lišov,217
Rozložná,217
Skerešovo,216
Svinice,216
Bžany,215
Turá,215
Mlynárovce,215
Drňa,215
Ruská Poruba,214
Pavlová,213
Domaníky,213
Jasenovce,213
Medovarce,213
Krivé,212
Krajná Poľana,212
Temeš,212
Dúbrava,212
Valkovce,212
Prosačov,211
Zlatno,211
Horné Plachtince,210
Súdovce,209
Jabloňovce,209
Pinciná,208
Chrastince,208
Petrovce,208
Inovce,207
Budiná,207
Nová Lehota,207
Starý Hrádok,207
Buclovany,207
Kručov,206
Lupoč,206
Kyselica,206
Trebejov,206
Kociha,205
Tomášovce,205
Suchá Dolina,204
Stebnícka Huta,204
Beňadikovce,204
Hačava,203
Modrovka,203
Hosťovce,202
Slančík,201
Kunešov,201
Petrovce,201
Vislava,201
Dubová,200
Lenka,200
Rudno,200
Brežany,199
Muránska Lehota,199
Petrova Lehota,199
Štefanovce,199
Tašuľa,199
Kalonda,198
Dolné Strháre,198
Porostov,198
Slatinka nad Bebravou,198
Sihla,197
Bottovo,197
Vieska,197
Vyšný Hrabovec,197
Budiš,196
Opiná,196
Vyšný Kazimír,195
Klin nad Bodrogom,195
Záskalie,194
Ratkovo,194
Bílkove Humence,194
Chvalová,194
Malá Čalomija,193
Hraničné,193
Nižný Skálnik,193
Palota,193
Dekýš,193
Sejkov,192
Ortuťová,192
Lúčky,192
Pleš,191
Petrikovce,191
Oľšavka,191
Bodzianske Lúky,191
Širákov,190
Stará Voda,190
Prša,190
"Senné, Veľký Krtíš District",190
Vyšná Jedľová,189
Beňatina,189
Výrava,189
Gribov,189
Jalšovík,188
Vyšný Kazimír,188
Černochov,188
Dolné Zahorany,188
Stráňany,187
Baňa,187
Sása,186
Horný Kalník,186
Oľšavka,186
Svrbice,186
Horné Mladonice,186
Vyšné Ladičkovce,185
Malá Franková,185
Kapince,184
Kožuchov,184
Meliata,183
Silická Jablonica,182
Kolibabovce,182
Sklabinský Podzámok,181
Pinkovce,180
Lúčka,180
Mošurov,180
Uhliská,180
Kľak,180
Belín,179
Renčišov,179
Nové Hony,179
Nižný Komárnik,178
Muránska Huta,178
Abramová,178
Uňatín,177
Oravce,177
Kolbovce,177
Horný Badín,177
Tatranská Javorina,177
Pokryváč,177
Lažany,176
Drábsko,176
Husák,176
Stará Lehota,175
Vyšné nad Hronom,175
Lula,175
Ľutov,174
Trnávka,172
Hodejovec,172
Baldovce,172
Hrušovo,172
Višňové,171
Turčiansky Ďur,171
Bobrovček,170
Horný Tisovník,170
Malé Ludince,170
Záborie,170
Slovenské Kľačany,170
Beharovce,169
Trebušovce,169
Osádka,169
Veľké Straciny,168
Baďan,167
Blatná Polianka,166
Oľšavce,165
Dlžín,165
Lúčina,165
Šašová,164
Bystrá,164
Močiar,163
Rafajovce,163
Seniakovce,163
Nižná Boca,163
Lukovištia,163
Zbojné,162
Čukalovce,162
Blažovce,162
Seľany,162
Rokytovce,161
Kozelník,161
Vieska nad Blhom,161
Orávka,161
Poľanovce,160
Turecká,159
Topoľa,159
Nižné Repaše,159
Bacúrov,158
Ardovo,158
Rybník,158
Ordzovany,158
Kozí Vrbovok,156
Dedačov,156
Stretavka,156
Sádočné,155
Huty,155
Ležiachov,155
Zádiel,155
Černina,154
Lacková,154
Sukov,153
Horná Strehová,153
Malé Straciny,151
Vyšný Kručov,151
Vyšný Skálnik,150
Žemliare,150
Markuška,150
Dubno,150
Osadné,150
Brutovce,150
Stankovce,150
Folkušová,150
Bohunice,149
"Šípkov, Bánovce nad Bebravou Distric",149
Padarovce,149
Počarová,149
Zombor,148
Čelkova Lehota,148
Byšta,148
Záhorie (military district),147
Nižná Jablonka,147
Jestice,147
Ratvaj,147
Miková,146
Borcová,146
Fijaš,146
Giglovce,146
Zádor,145
Kráľovce-Krnišov,144
Makovce,144
Gregorova Vieska,144
Soboš,144
Koválovec,144
Ľuboriečka,144
Povrazník,143
Lipové,142
Strihovce,142
Svidnička,142
Libichava,142
Ďurďové,142
Silická Brezová,142
Čierny Potok,141
Roškovce,141
Zalaba,141
Úhorná,141
Turčianky,140
Veľký Lom,138
Varechovce,138
Beluj,137
Brieštie,136
Rakovčík,136
Petkovce,135
Kraskovo,133
Bzovská Lehôtka,132
Vyškovce,132
Gruzovce,132
Bobrovník,132
Tekolďany,132
Slavoška,132
Vysoká,129
Ruský Potok,129
Hubovo,128
Polichno,128
Breznička,127
Pongrácovce,127
Hanigovce,127
Pečenice,127
Ďurkovce,126
Dolné Mladonice,126
Píla,125
Mičakovce,125
Podskalie,125
Malé Borové,124
Mudroňovo,124
Dubnička,124
Jasenovo,123
Mikulášová,122
Geraltov,122
Slovenské Krivé,121
Vyšný Tvarožec,121
Vysoká,121
Laskár,120
Stratená,120
Drážovce,119
Čičmany,119
Repejov,119
Livina,118
Pravica,118
"Rovné, Rimavská Sobota District",118
Matovce,117
Piskorovce,117
Rašice,117
Vagrinec,116
Zbudská Belá,116
Pohronský Bukovec,116
Malá Poľana,115
Lúčka,114
Majere,114
Brusník,114
Glabušovce,113
Selce,113
Kecerovský Lipovec,113
Horné Zahorany,113
Bukovina,112
Žiar,111
Karlová,111
Čierna Lehota,110
Opava,110
Tovarnianska Polianka,110
Vyšná Polianka,109
Vysočany,109
Ruská Bystrá,108
Ruská Kajňa,108
Trpín,107
Chrťany,107
Drienovo,107
"Štefanovce, Vranov nad Topľou District",107
Vyšná Boca,106
Brestov nad Laborcom,106
Štefurov,105
Motyčky,105
Svätuš,105
Petrovo,105
Kožany,104
Nižná Jedľová,104
Brezovka,104
Opátka,103
Bogliarka,103
Chorváty,103
Cimenná,101
Mládzovo,101
Henclová,100
Sopkovce,100
Vojtovce,98
Potok,98
Hradisko,96
Hutka,96
Gemerček,96
Daletice,96
Liptovská Anna,95
Lackov,95
Suché Brezovo,94
Kremná,94
Legnava,94
Selce,93
Nový Svet,92
Ondrašová,92
Dlhoňa,91
Ižkovce,91
Tokajík,90
Ivančiná,90
Lipovec,90
Kobylnice,90
Šemetkovce,90
Korytné,89
Svetlice,89
Ižipovce,89
Bunetice,89
Polina,89
Gemerské Michalovce,88
Potoky,88
Vyšné Repaše,87
Šoltýska,86
Počúvadlo,86
Ruská Voľa,86
Sudince,85
Ruská Volová,85
Kaľamenová,85
Zálesie,84
Jurkova Voľa,84
Hanková,83
Nižná Pisaná,83
Ruská Voľa,83
Lentvora,82
Michajlov,82
Mrázovce,81
Šmigovec,81
Jedlinka,80
Vyšný Komárnik,80
Leváre,80
Liptovské Beharovce,80
Ruská Voľa nad Popradom,80
Krajné Čierno,79
Ďubákovo,79
Čremošné,79
Zemiansky Vrbovok,78
Runina,77
Španie Pole,76
Korejovce,76
Korunková,76
Jezersko,76
Haluzice,75
Praha,75
Zlatník,74
Šuľa,74
Nechválova Polianka,74
Cigla,74
Prihradzany,73
Žibritov,73
Ploské,71
Lipová,70
Moškovec,70
Potôčky,70
Hajtovka,68
Kolbasov,68
Nová Polianka,66
Mudrovce,65
Kyjatice,65
Vyšná Pisaná,65
Vladiča,65
Závada,65
Kríže,64
Jalová,64
Brdárka,63
Livov,62
Budikovany,62
Babinec,60
Ondrašovce,60
Bodružal,60
Višňové,59
Harakovce,58
Kováčová,57
Hrabová Roztoka,57
Matysová,56
Pstriná,56
Liešno,56
Hrlica,56
Miroľa,56
Vavrinec,55
Girovce,55
Krná,54
Detrík,54
Starina,52
Maškovce,52
Vyšná Jablonka,51
Jesenské,49
Kožuchovce,48
Príslop,47
Regetovka,46
Dobroslava,46
Livovská Huta,45
Ratkovská Lehota,45
Veľké Borové,45
Havka,45
Medvedie,44
Rohožník,44
Valentovce,42
Ratkovská Suchá,42
Pavľany,42
Prituľany,41
Trebichava,41
Jakušovce,40
Vápeník,40
Omastiná,40
Brezovec,39
Jarabá,39
Uhrovské Podhradie,39
Michalková,37
Krajná Porúbka,35
Soľník,35
Červeňany,34
Krišlovce,32
Lešť,31
Obručné,26
Belejovce,24
Poproč,23
Krokava,23
"Potok, Rimavská Sobota District",21
Bystrá,21
Parihuzovce,20
Oľšinkov,20
Šarbov,17
Ondavka,15
Havranec,15
Príkra,12
Valaškovce,0
